numero,acao,veredito,data,labels,titulo,evidencia
943,manter,válido,2026-09-02,"agent-found,needs-triage",[financial] NSA é sequenciado por conta e não pelo convênio — duas contas sob o mesmo multipag repetem o número,"NSA é alocado por conta (cedente-account-store.ts:45); índice fin_remittances_account_nsa_uq, não por convênio."
942,manter,válido,2026-09-02,"agent-found,needs-triage",[financial] gerar remessa falha com 5xx opaco numa conta-cedente válida com multipag — bloqueio em PRODUÇÃO,Slugs de remessa caem no balde 503 genérico (error-mapping.ts:163-172) — daí o 5xx opaco.
940,manter,válido,2026-09-02,-,[infra/release] o gerador do CHANGELOG sobrescreve o arquivo e apaga a seção da release anterior,release-notes.ts:337 faz writeFileSync sem ler o arquivo; renderChangelog monta do zero.
938,manter,operacional,2026-09-01,BlockedBy,[financial] validar em produção que a conta migrada aceita o convênio e gera remessa (CA5 da #879),"Validação em produção, dependente da #879 — cujo fix está na branch órfã."
931,manter,válido,2026-09-01,"agent-found,needs-triage",[handbook] inquiry-0032 diz que reconciliation-repository nao esta no ciclo atual — a condicao ocorreu 4 dias depois em 4ec8445e,"inquiry-0032:537,783-784 ainda diz ""não está no ciclo atual""; 4ec8445e provou o contrário."
930,manter,válido,2026-09-01,"bug,agent-found,needs-triage",[shared/persistence] a borda HTTP abre 31 pools num boot (eram 14 no Incident-0001) — piso ocioso de 62 conexoes excede max_connections,"composition.ts:793,878-897 abre 5 read-ports e budget-plans/read.ts:70 abre pool próprio de programs."
927,manter,válido,2026-09-01,"agent-found,needs-triage,debito-tecnico","[shared/migrations] ADD de coluna NOT NULL sem DEFAULT em 4 tabelas de negocio, sem justificativa nem gate — falha com 3819","ADD NOT NULL sem DEFAULT em 0006_same_jigsaw.sql, 0007_bizarre_clint_barton.sql e 0047_powerful_veda.sql."
926,manter,válido,2026-09-01,"agent-found,needs-triage,debito-tecnico",[shared/migrations] db:generate reprova o format:check em 5 dos 7 modulos — o .prettierignore isenta so contracts e auth,.prettierignore isenta só contracts e auth; os outros 5 módulos seguem no format:check.
923,feito,fechada 02/09,2026-09-01,"agent-found,needs-triage,gap-contrato,needs-decision",[partners] ISPB do favorecido nao existe no cadastro — bloqueia o Segmento A e o B do emissor PIX,"payee-ispb.ts + ispb-by-bank-code.generated.ts derivam ISPB do código de compensação (98fbc6c2, PR #934)."
915,decisao,aguarda sua decisão,2026-08-31,-,"[deploy] o backend de homologacao ja pegou o 04f24df8b (M2, PR #889) da dev? Automatico ou manual?",Não fechei: a pergunta sobre o deploy de homologação segue sem resposta. Fechar sem responder perde a informação.
913,manter,válido,2026-08-31,-,[financial] autoria da trilha da reclassificacao e fail-open — e virou o unico controle depois da #897,confirm-reconciliation.ts:267 — actor: actorRef.ok ? value : null (fail-open).
912,manter,válido,2026-08-31,-,[financial] DocumentTaxonomy admite os 31 subconjuntos que o comentario acima proibe — dois papeis num tipo so,document.ts:440-445 — os 5 campos são | null independentes; reclassifyTaxonomy não valida completude.
911,manter,válido,2026-08-31,-,"[financial] a escrita da reclassificacao usa o input, nao a saida do agregado — duas fontes que hoje coincidem","confirm-reconciliation.ts:252-256 grava o input, não a saída do agregado."
910,manter,válido,2026-08-31,-,[financial] typo no NOME do bloco taxonomy devolve 201 sem reclassificar — z.object em strip vs additionalProperties false,schemas.ts:544 — confirmReconciliationBodySchema sem .strict(); bloco com nome errado some no strip.
909,manter,válido,2026-08-31,-,[financial] sentinela do fallback da categoria trocada no #889 — Partial com difference volta a perder a categoria,plugin.ts:1775 — sentinela virou if (taxonomy === null); manualEntry com categoryRef nulo não cai no fallback.
906,manter,válido,2026-08-31,"bug,agent-found,needs-triage",[financial] template do lote descarta 6 dos 14 campos em silencio — escopo restante do #505,confirm-batch.ts:18-27 tem 8 dos 14 campos de RecordManualEntryInput. Continuação da #505 (já resolvida).
905,manter,válido,2026-08-31,"agent-found,needs-triage,debito-tecnico",[financial] o dominio cita 13 vezes uma spec da M2 que nao existe no repositorio,"Não existe spec da M2 em handbook/specs/; o código a cita 57 vezes, 9 delas no domínio."
904,manter,válido,2026-08-31,"agent-found,needs-triage,debito-tecnico","[financial] #268 entregue sem assercao de rota — so os schemas foram validados, com fixture null",Só schema com fixture nula; o único teste de rota assere apenas items[].id.
903,manter,válido,2026-08-31,"agent-found,needs-triage,debito-tecnico",[financial] os 4 slugs de erro da M2 ficaram fora do gate de error-classification,error-classification.test.ts:20-71 não lista os 4 slugs da M2.
902,manter,válido,2026-08-31,"bug,agent-found,needs-triage","[financial] confirm da conciliacao fecha ciclo de deadlock com o save do documento, sem withDeadlockRetry","reconciliation-repository.drizzle.ts não importa withDeadlockRetry, e o confirm passou a escrever fin_documents."
901,manter,válido,2026-08-31,"agent-found,needs-triage,debito-tecnico",[budget-plans] financial recebe o read-port inteiro e um pool duplicado de programs — fatiar em buildTaxonomyPathReadPort,composition.ts:948 injeta o read-port inteiro; nenhum buildTaxonomyPathReadPort existe.
900,manter,válido,2026-08-31,"agent-found,needs-triage,gap-contrato",[financial] manual-entry e batch gravam os 5 refs sem validar o caminho na arvore do plano,record-manual-entry.ts:141-142 só valida formato; ninguém chama findPathBySubcategory.
899,manter,válido,2026-08-31,"agent-found,needs-triage,gap-contrato",[financial] desfazer a conciliacao nao desfaz a reclassificacao que ela carregou,undo-reconciliation.ts não menciona taxonomia; o undo do repo só reverte status e auditoria.
898,manter,válido,2026-08-31,"agent-found,needs-triage,debito-tecnico",[budget-plans] taxonomy-path-read.drizzle nao tem teste de integracao — RN-M2-09/10 so valem contra fake,taxonomy-path-read.drizzle.ts não é exercitado por teste algum — só o fake in-memory.
897,feito,fechada 02/09,2026-08-31,"agent-found,needs-triage,seguranca","[financial] reclassificar taxonomia de gasto pago entrou sob reconciliation:write, sem alcada propria","addb690b decidiu: as alçadas ficam FUNDIDAS, nada a mudar no preHandler. A issue pede o que já foi decidido não fazer."
896,feito,fechada 02/09,2026-08-31,"bug,agent-found,needs-triage",[financial] teste da trilha M2 nao pode falhar: assere piso de contagem que o seed ja satisfaz,reconciliation-reclassify.drizzle-mysql.test.ts:345 assere o Result e casa por conteúdo nos 3 alvos.
895,feito,fechada 02/09,2026-08-31,"bug,agent-found,needs-triage",[financial] teste da cascata M2 escolhe o DocumentSaved por sorteio de UUID — CI vermelho no #889,"O teste apaga o outbox antes do confirm (:269), deixando um único DocumentSaved a projetar."
894,feito,fechada 02/09,2026-08-31,"bug,agent-found,needs-triage",[financial] fin_payable_view nao tem guard de recencia — reprojetar evento antigo apaga a reclassificacao,payable-view-store.drizzle.ts:52-102 tem guard fresher + coluna occurred_at (migration 0055).
893,feito,fechada 02/09,2026-08-31,"bug,agent-found,needs-triage,seguranca",[financial] reclassificacao da taxonomia escreve em fin_documents fora do optimistic lock,"CAS version+1 em reconciliation-repository.drizzle.ts:147-168, mapeado a document-version-conflict (409)."
892,feito,fechada 02/09,2026-08-31,"agent-found,needs-triage,debito-tecnico",[financial] Ancora M2 — reclassificar a taxonomia (5 niveis) na conciliacao (PR #889),04f24df8 é ancestral do HEAD (CHANGELOG:18). A âncora entregou; as fatias #898-#913 já vivem sozinhas.
888,manter,válido,2026-08-27,"agent-found,needs-triage,debito-tecnico",[financial] Backfill de budget_plan_ref nos documentos orfaos — o plano E derivavel do no da arvore (fatia do #502/CA3),Não existe job que derive budget_plan_ref da folha; o backfill só repõe o que fin_documents já tem.
885,manter,válido,2026-08-27,"agent-found,needs-triage,debito-tecnico",[financial] o adapter que grava o codigo de barras nao tem teste — a conversao da linha digitavel so esta provada no dominio,remittance-payment-reader.drizzle.ts:171 chama resolveBarcode sem teste do adapter.
881,manter,válido · P1,2026-08-27,"bug,agent-found,priority:p1,needs-decision,go-live,camada:core",[financial] aprovacao inoperante em PRODUCAO: o gate do #609 le payable:approve na tabela e o AUTH_RBAC_MODE=bypass nao o alcanca,checkApprover lê authority.canApprove da tabela e não consulta rbacMode; o bypass só age na borda.
879,critico,fix órfão,2026-08-25,"bug,agent-found,priority:p1",[financial] conta migrada nasce com convenio LEGADO e trava para sempre — bloqueio em PRODUCAO,"Fix existe só em origin/fix/convenio-legado-879 (1837299e), NUNCA mergeado. mapper.ts:69 ainda grava convenio LEGADO. P1 travando produção."
873,manter,decisão,2026-08-25,"agent-found,seguranca,priority:p1,needs-decision",[infra/release] producao esta 794 commits atras — o que precisa ser resolvido para promover a go-live,"rc.1 e rc.2 saíram e main absorveu dev, mas a promoção é externa e #879/#881/#942 seguem abertas."
871,manter,incerto,2026-08-25,"agent-found,needs-triage,debito-tecnico",[handbook] reconciliar o registro com o repositorio paralelo core-api-deno — ADR 0054/0055/0056 resolvem para dois documentos,Nenhuma referência a core-api-deno no handbook; precisa do outro repositório para decidir.
868,manter,válido,2026-08-25,"bug,agent-found,needs-triage,type:task","[financial] o inspetor aprova arquivo que o banco recusa — faltam AO, AQ e AR, que sao estrutura pura",RemittanceDefectCode não checa AO/AQ/AR; a lista do que o inspetor não faz cita só AT e AU-AY.
866,epico,não iniciado,2026-08-25,"agent-found,type:epic",GERADOR BINARIO de .rem,Épico real e vazio: o arquivo ainda é string com CRLF e sobe como texto (van-storage.s3.ts:43-56).
865,manter,válido,2026-08-25,"bug,agent-found,needs-triage,type:task",[financial] endereco do cedente sai em branco nas 80 posicoes do header de lote — o dado nao existe em nenhuma camada,companyAddress não tem produtor no repo; o header de lote emite street/state vazios.
864,feito,fechada 02/09,2026-08-25,"bug,agent-found,needs-triage,type:task","[financial] lote de boleto: 223-224 sai em branco onde o G059 AB exige 01, e o Segmento J-52 nao e emitido",J-52 passou a ser emitido (PR #928); 223-224 em branco é decisão explícita no multipag-records.ts:219-222.
863,manter,válido,2026-08-25,"bug,agent-found,needs-triage,type:task",[financial] CNPJ alfanumerico do FAVORECIDO e destruido por digits() — o Segmento B emite outra inscricao,"multipag-segments.ts:273 digits(p.document,14) destrói letras; o código registra a premissa em :397-400."
861,manter,válido,2026-08-25,"agent-found,priority:p2,needs-decision",[financial] o CNAB carimba data e hora em UTC — remessa gerada apos 21h nasce datada de AMANHA,stamp() usa getUTCDate/getUTCHours (remittance-file-name.ts:49-53).
858,manter,válido,2026-08-25,"bug,agent-found,needs-triage",[financial] Segmento B emite endereco do favorecido sempre em branco — o campo nao existe no port do tradutor,"RemittancePayeeData não tem campo de endereço; o código cita ""branco em 100% das remessas (#858)""."
856,reescrever,parcial,2026-08-25,"bug,agent-found,needs-triage","[financial] campos do cedente sem fonte de dado no header CNAB (nome do banco, DVs, tipo de inscricao)",Razão social saiu do nome do banco (PR #857/#870). Sobra: documentType/agencyDigit/accountAgencyDigit/bankName hardcoded em generate-remittance.ts:172-186.
853,manter,válido,2026-08-25,"agent-found,needs-triage,debito-tecnico,camada:core",[financial] fakes in-memory nao espelham os CHECKs do schema — titulo Paid sem paid_at passa no unitario e sai com 3819 no MySQL,O CHECK fin_payables_paid_at_chk não tem espelho no fake (payable-repository.in-memory.ts:113).
845,manter,válido,2026-08-24,"agent-found,needs-triage,gap-contrato",[reports] o filtro status=Transmitted compara o status do documento e nunca casa,"O próprio schemas.ts:129-132 documenta: ""Transmitted desta lista NUNCA casa""."
844,manter,válido,2026-08-24,"agent-found,needs-triage,debito-tecnico",[shared] concentrar o cast de affectedRows do mysql2 num helper unico,Cast de affectedRows repetido em 7 arquivos; nenhum helper em src/shared.
841,manter,válido,2026-08-24,"agent-found,needs-triage,debito-tecnico",[infra/tests] boot-guard infere porta abriu do SIGKILL por teto de 20s — reprova o gate sob carga sem regressao do guard,"server-jwt-key-boot-guard.test.ts:22-23 infere ""a porta abriu"" do SIGKILL por teto de 20s."
839,reescrever,parcial,2026-08-24,"documentation,agent-found,needs-triage,needs-decision",[financial/infra] sete incognitas operacionais da VAN sem dono nem ADR — transferidas da #604,"4 das 7 incógnitas viraram ADR-0061 §""o que continua em aberto"". Sobram 3, sem dono."
836,manter,válido,2026-08-24,-,[financial] /payable-titles/counts conta os filhos de retencao — a chip diverge da tabela quando o filtro e por tipo de documento,countByStatus não filtra kind/retentionType; a rota ainda soma Draft da tabela de documentos.
833,manter,válido,2026-08-24,"agent-found,needs-triage,debito-tecnico,priority:p2","[shared/dx] Cinco cortes de custo ocioso e atrito de dev — o grupo outbox so loga, e e o maior consumidor da stack","O grupo outbox entrega por log (specs.ts:106,132) e segue listado em run.ts:29."
830,manter,válido,2026-08-23,"agent-found,needs-triage,debito-tecnico","[shared/migrations] eventos_processados e criada por um journal so, mas cinco modulos dependem dela",CREATE TABLE eventos_processados só na migration de contracts; 5 módulos dependem dela.
829,manter,válido,2026-08-23,"agent-found,needs-triage,debito-tecnico",[financial] outbox in-memory e so produtor — consumo do fin_outbox sem cobertura unitaria,fin-outbox-reader.drizzle.ts só é exercitado no integrado gated por MySQL.
826,decisao,aguarda sua decisão,2026-08-22,"gap-contrato,priority:p1","[web-app] PATCH de vencimento de titulo exige expectedDueDate — 400 ate o front enviar (BREAKING, ja na dev)",Não fechei: é mudança BREAKING que o web-app ainda precisa absorver. Fechar aqui apagaria o único registro dessa coordenação.
823,manter,válido,2026-08-22,"gap-contrato,priority:p3,camada:core",[financial] titulo nao diz em qual remessa foi — o vinculo existe no banco e nao e exposto em rota nenhuma,remittanceId só aparece nos DTOs do lado da remessa; nenhuma rota de título o expõe.
821,manter,válido,2026-08-22,"bug,priority:p2,camada:core",[financial] remessa com data de pagamento no PASSADO e aceita — e a tentativa queima NSA,"generate-remittance.ts:130-131 só recusa datas MISTAS; nada compara com hoje, e o NSA é alocado depois."
820,manter,válido,2026-08-21,"documentation,agent-found,needs-triage",[financial] a razao escrita para bloquear pagamento por DV divergente supoe uma modalidade que o piloto nao usa,"account-check-digit.ts:11-14 mantém o texto ""Modalidade 01 é exatamente a do piloto""."
819,manter,válido,2026-08-21,"agent-found,needs-triage,gap-contrato",[financial] dado bancario do cedente travado por historico nao tem via de correcao — o operador fica sem saida,edit-cedente-account.ts:64-68 devolve bank-data-locked sem override; não há outra rota de correção.
817,manter,válido,2026-08-21,"agent-found,needs-triage,gap-contrato",[partners] cadastro de favorecido nao tem tipo de conta (corrente/poupanca) — dois campos do CNAB dependem dele,"Constantes fixas CC (batch-profile.ts:178) e 01 (multipag-segments.ts:427), ambas comentadas com ""#817""."
816,manter,válido,2026-08-21,"bug,agent-found,needs-triage",[financial] digito verificador da conta do cedente nunca e conferido — o banco recusa toda remessa daquela conta,verifyAccountCheckDigit só é usado no favorecido; cedente-account.ts:39 grava accountDigit sem conferir.
815,manter,válido,2026-08-21,"bug,agent-found,needs-triage",[financial] emissor nao conhece credito em conta poupanca — todo favorecido do proprio banco sai como conta corrente,O domínio de formas é 01/41/30/31/45 — não existe crédito em poupança; P013 sai fixo em CC.
810,manter,válido,2026-08-21,"agent-found,needs-triage,debito-tecnico,priority:p2,camada:core","[shared/persistence] o padrao hard replace da #803 se repete em 7 pontos — auth, budget-plans e contracts","Hard replace sem diff em 7 pontos de auth, budget-plans e contracts; child-rows-diff.ts só existe no financial."
808,reescrever,parcial,2026-08-21,"agent-found,needs-triage,debito-tecnico,priority:p2,camada:core",[shared/persistence] varchar de negocio sem COLLATE herda o default do servidor — provisionamento do zero quebra na migration 0050,Gate de detecção instalado (tests/cleanup/schema-collation.test.ts); a migration 0050 segue sem COLLATE.
